time = 20150812-193515; ObjectID = 16779008; name = BTR-80; country = 0; Lat = 44.721778; Long = 37.623709; Alt = 94.976905; Hdg = 1.355043; type = 2.17.26.10
time = 20150812-193515; ObjectID = 16779520; name = OH-58D; country = 2; Lat = 44.733989; Long = 37.707809; Alt = 245.982823; Hdg = 4.607136; type = 1.2.6.168
time = 20150812-193515; ObjectID = 16780032; name = M-113; country = 2; Lat = 44.718532; Long = 37.647594; Alt = 79.031036; Hdg = 3.839742; type = 2.17.26.10
time = 20150812-193515; ObjectID = 16780544; name = Hummer; country = 2; Lat = 44.718897; Long = 37.647551; Alt = 79.179253; Hdg = 5.340707; type = 2.17.25.14
time = 20150812-193515; ObjectID = 16781056; name = Soldier M249; country = 2; Lat = 44.718623; Long = 37.647334; Alt = 78.968727; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193515; ObjectID = 16781568; name = M1045 HMMWV TOW; country = 2; Lat = 44.736070; Long = 37.666078; Alt = 108.476281; Hdg = 5.214791; type = 2.17.104.14
time = 20150812-193515; ObjectID = 16782080; name = M1134 Stryker ATGM; country = 2; Lat = 44.736541; Long = 37.666484; Alt = 107.686147; Hdg = 5.516874; type = 2.17.104.80
time = 20150812-193515; ObjectID = 16777728; name = BMP-1; country = 0; Lat = 44.705830; Long = 37.637652; Alt = 86.953166; Hdg = 4.117315; type = 2.17.104.7
time = 20150812-193515; ObjectID = 16778240; name = BRDM-2; country = 0; Lat = 44.705890; Long = 37.637914; Alt = 88.397128; Hdg = 5.007832; type = 2.17.26.10
time = 20150812-193515; ObjectID = 16778752; name = BMP-3; country = 0; Lat = 44.722159; Long = 37.623187; Alt = 95.733788; Hdg = 1.720419; type = 2.17.104.7
time = 20150812-193515; ObjectID = 16779264; name = BRDM-2; country = 0; Lat = 44.721401; Long = 37.624183; Alt = 94.161296; Hdg = 1.229767; type = 2.17.26.10
time = 20150812-193515; ObjectID = 16779776; name = outpost_road; country = 2; Lat = 44.718653; Long = 37.647538; Alt = 79.086159; Hdg = 3.839742; type = 2.17.26.96
time = 20150812-193515; ObjectID = 16780288; name = Hummer; country = 2; Lat = 44.718751; Long = 37.647521; Alt = 79.144386; Hdg = 3.779569; type = 2.17.25.14
time = 20150812-193516; ObjectID = 16780800; name = Soldier M4; country = 2; Lat = 44.718526; Long = 37.647496; Alt = 78.980316; Hdg = 3.779569; type = 2.17.26.90
time = 20150812-193516; ObjectID = 16781312; name = M-2 Bradley; country = 2; Lat = 44.735857; Long = 37.665974; Alt = 109.065834; Hdg = 3.513753; type = 2.17.104.7
time = 20150812-193516; ObjectID = 16781824; name = M1134 Stryker ATGM; country = 2; Lat = 44.736362; Long = 37.666259; Alt = 107.629431; Hdg = 6.208843; type = 2.17.104.80
